epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.24221,1.95191,3.12472,1.54454,0.01,0.94286,0.14161,0.08175,2.05642,3.14637,1.4171,0.00014,0.00014,0.00014
2,3.97994,1.48828,2.536,1.25821,0.01061,1,0.29993,0.20353,1.07214,2.98642,0.97731,0.000298812,0.000298812,0.000298812
3,5.69551,1.27784,1.56953,1.14708,0.01061,1,0.56303,0.38915,1.10111,2.784,0.9738,0.000456357,0.000456357,0.000456357
4,7.36706,1.20741,1.32681,1.1404,0.36029,0.77143,0.75533,0.41318,1.19075,2.71399,0.97412,0.000612634,0.000612634,0.000612634
5,9.03946,1.21158,1.22112,1.10093,0.01061,1,0.94744,0.56222,1.10192,2.68364,0.94676,0.000767645,0.000767645,0.000767645
6,10.7285,1.3244,1.32385,1.18928,0.01061,1,0.79871,0.47836,1.22146,2.59498,0.99453,0.000921388,0.000921388,0.000921388
7,12.3842,1.23328,1.16063,1.135,0.01061,1,0.3586,0.1799,1.62828,2.61828,1.22185,0.00107386,0.00107386,0.00107386
8,14.0355,1.26801,1.14847,1.18234,0.7016,0.47055,0.63423,0.31877,1.70268,2.26563,1.36997,0.00122507,0.00122507,0.00122507
9,15.6758,1.24072,1.08256,1.11781,0.94336,0.47624,0.80094,0.44877,1.44701,2.30521,1.21929,0.00137501,0.00137501,0.00137501
10,17.3041,1.25151,1.05448,1.16654,0.50244,0.37143,0.59253,0.41467,1.19479,2.28152,1.13563,0.00152369,0.00152369,0.00152369
11,18.9602,1.40674,1.10514,1.24532,0.91027,0.86979,0.94201,0.45614,1.7094,1.88663,1.28771,0.0016711,0.0016711,0.0016711
12,20.5928,1.38709,1.17744,1.22725,0.2103,0.51429,0.26389,0.14761,1.46075,2.35039,1.27935,0.00181724,0.00181724,0.00181724
13,22.2306,1.37757,1.1064,1.22642,0.03474,0.37143,0.01997,0.01294,1.44948,5.27867,1.22691,0.00190496,0.00190496,0.00190496
14,23.9164,1.28464,1.03465,1.19613,0.05565,0.42857,0.03376,0.02126,1.3636,4.06553,1.21898,0.00189704,0.00189704,0.00189704
15,25.5922,1.24159,0.98136,1.1349,0.99532,0.4,0.47371,0.24292,1.81155,2.1106,1.42781,0.00188912,0.00188912,0.00188912
16,27.2772,1.24327,0.96776,1.16877,0.78095,0.57143,0.75625,0.39679,1.63558,1.7805,1.35145,0.0018812,0.0018812,0.0018812
17,28.9427,1.21221,1.04005,1.16719,0.92216,0.85714,0.94683,0.51493,1.55877,1.51131,1.23632,0.00187328,0.00187328,0.00187328
18,30.5919,1.25934,0.90743,1.14026,0.89515,1,0.92835,0.61185,1.16957,1.10558,1.06133,0.00186536,0.00186536,0.00186536
19,32.2495,1.15822,0.93864,1.18615,0.93779,0.97143,0.98452,0.59956,1.34754,0.89129,1.1033,0.00185744,0.00185744,0.00185744
20,33.9669,1.11584,0.81829,1.11328,0.98928,0.94286,0.97785,0.64602,1.17749,0.8393,1.04885,0.00184952,0.00184952,0.00184952
21,35.6631,1.16533,0.84489,1.137,0.93456,0.97143,0.95969,0.61543,1.30352,0.86073,1.07594,0.0018416,0.0018416,0.0018416
22,37.2877,1.22432,0.85169,1.14858,0.96949,1,0.97833,0.63212,1.26459,0.74204,1.10267,0.00183368,0.00183368,0.00183368
23,38.9033,1.20818,0.85868,1.16801,0.95593,1,0.97778,0.61858,1.24909,0.87366,1.11075,0.00182576,0.00182576,0.00182576
24,40.5198,1.17752,0.83221,1.14105,0.89518,1,0.93425,0.53352,1.42993,1.06424,1.13499,0.00181784,0.00181784,0.00181784
